Point Cloud Visibility
43
Visibility for camera video5771447340057498062_frame00000.jpg
620 629.644 921.195
621 629.839 859.968
622 632.761 1159.23
623 640.359 639.328
624 655.454 902.64
625 658.939 362.613
626 674.307 1000.75
627 677.455 627.341
628 686.384 414.076
629 686.384 414.076
630 707.819 430.346
Visibility for camera video5771447340057498062_frame00004.jpg
188
92 28.0743 325.446
99 50.9752 133.062
100 51.918 224.712
105 60.2736 19.7218
108 63.1309 57.4385
109 65.6157 159.931
110 65.303 147.154
111 65.204 281.903
112 57.8114 498.693
113 76.6191 351.827
123 95.2754 310.988
128 98.4379 341.986
131 103.011 262.47
135 109.727 202.298
151 127.179 64.3891
167 190.432 58.3662
189 90.801 664.37
190 137.897 584.633
193 22.1901 808.751
197 297.553 273.322
206 40.9083 871.833
213 97.1136 799.935
217 84.2418 870.678
223 175.569 755.097
224 175.569 755.097
230 135.017 870.366
233 274.987 642.329
235 235.229 710.533
237 116.471 906.969
238 82.1417 985.027
244 474.688 323.832
248 119.164 982.599
251 273.06 750.794
256 194.716 910.994
258 150.316 1003.12
263 525.9 95.5065
270 208.846 972.697
271 214.1 984.659
277 573.888 38.3795
304 27.5506 346.968
311 48.0481 227.454
312 48.9242 332.92
314 52.1278 172.846
316 56.5237 149.212
317 60.2221 247.444
324 76.6191 351.827
325 74.1011 499.09
327 89.7119 228.946
328 88.8303 352.321
332 101.052 219.822
333 103.245 139.071
336 106.474 286.706
346 124.652 88.2347
376 109.057 859.881
382 75.8916 988.782
386 182.636 809.063
392 184.436 921.152
398 203.545 929.786
399 470.826 580.168
407 308.818 845.18
416 418.964 764.331
421 117.221 1168.12
424 623.911 321.498
425 623.911 321.498
426 421.62 810.172
427 584.607 22.6004
428 144.431 1173.86
429 654.097 447.647
448 14.914 407.092
452 57.9212 389.774
453 60.1366 25.5037
454 72.6697 312.753
455 78.674 333.857
461 95.1488 280.529
468 131.256 489.306
475 16.1362 863.142
480 217.256 360.19
486 62.9469 859.23
489 65.1007 1007.9
494 128.695 924.997
497 27.5522 1181.53
498 422.3 217.911
500 202.345 978.53
501 208.846 972.697
504 251.309 909.724
505 231.047 984.484
512 89.6265 1235.96
517 190.318 1143.54
519 322.866 994.347
522 415.063 835.783
526 262.929 1153.67
527 266.073 1164.27
530 442.31 901.904
531 293.727 1154.47
532 459.241 904.006
537 567.619 678.198
538 628.812 22.0544
539 676.215 413.052
544 515.563 910.892
545 703.754 389.216
546 522.076 927.17
548 682.486 61.6183
